player_id,source,geo,deposit_date,deposit_num,amount,is_ftd,days_since_ftd
P0060957,Native_Ads,PL,2024-03-27,1,35.75,1,0
P0085888,Facebook,AU,2024-05-02,1,73.87,1,0
P0085888,Facebook,AU,2024-05-11,2,42.56,0,9
P0085888,Facebook,AU,2024-05-12,3,81.03,0,10
P0085888,Facebook,AU,2024-05-13,4,79.59,0,11
P0067155,Push_Network,CA,2024-04-05,1,109.14,1,0
P0116464,Google_Search,BR,2024-06-09,1,14.61,1,0
P0103285,Facebook,CA,2024-05-23,1,37.06,1,0
P0103285,Facebook,CA,2024-06-04,2,113.45,0,12
P0103285,Facebook,CA,2024-06-05,3,58.45,0,13
P0103285,Facebook,CA,2024-06-07,4,58.39,0,15
P0037666,Affiliate_SEO,CA,2024-02-22,1,38.09,1,0
P0037666,Affiliate_SEO,CA,2024-02-25,2,103.97,0,3
P0074428,Google_Search,PL,2024-04-14,1,98.66,1,0
P0021418,Facebook,BR,2024-02-02,1,26.63,1,0
P0049651,TikTok,CA,2024-03-14,1,106.84,1,0
P0025720,Google_Search,IN,2024-02-09,1,14.36,1,0
P0044443,Google_Search,PL,2024-03-03,1,17.01,1,0
P0044443,Google_Search,PL,2024-03-04,2,19.04,0,1
P0044443,Google_Search,PL,2024-03-09,3,29.59,0,6
P0063408,Push_Network,NG,2024-04-01,1,9.68,1,0
P0028730,Affiliate_SEO,DE,2024-02-13,1,94.27,1,0
P0090105,Affiliate_SEO,BR,2024-05-04,1,9.0,1,0
P0108892,Google_Search,BR,2024-06-02,1,67.36,1,0
P0108892,Google_Search,BR,2024-06-25,2,30.27,0,23
P0032193,Affiliate_SEO,CA,2024-02-19,1,149.42,1,0
P0047213,Google_Search,NG,2024-03-06,1,5.59,1,0
P0040490,Facebook,DE,2024-03-02,1,60.34,1,0
P0040490,Facebook,DE,2024-03-06,2,76.04,0,4
P0074736,TikTok,AU,2024-04-16,1,229.25,1,0
P0100218,Google_Search,NG,2024-05-16,1,19.44,1,0
P0100218,Google_Search,NG,2024-05-18,2,6.71,0,2
P0100218,Google_Search,NG,2024-05-25,3,11.86,0,9
P0100218,Google_Search,NG,2024-05-30,4,5.0,0,14
P0045181,Google_Search,DE,2024-03-05,1,96.79,1,0
P0016444,Native_Ads,AU,2024-01-23,1,115.56,1,0
P0016444,Native_Ads,AU,2024-02-02,2,97.87,0,10
P0016444,Native_Ads,AU,2024-02-03,3,75.83,0,11
P0034854,Google_Search,NG,2024-02-21,1,24.55,1,0
P0111258,Facebook,IN,2024-06-05,1,11.48,1,0
P0035652,Google_Search,PL,2024-02-24,1,87.09,1,0
P0050169,Facebook,IN,2024-03-16,1,44.03,1,0
P0075719,Affiliate_SEO,BR,2024-04-16,1,35.98,1,0
P0062034,Affiliate_SEO,CA,2024-03-28,1,45.61,1,0
P0062034,Affiliate_SEO,CA,2024-03-31,2,84.04,0,3
P0062034,Affiliate_SEO,CA,2024-04-01,3,32.57,0,4
P0022002,Affiliate_SEO,AU,2024-02-04,1,41.45,1,0
P0022002,Affiliate_SEO,AU,2024-02-05,2,91.22,0,1
P0022002,Affiliate_SEO,AU,2024-02-14,3,104.67,0,10
P0109287,Google_Search,IN,2024-06-01,1,23.77,1,0
P0109287,Google_Search,IN,2024-06-02,2,9.25,0,1
P0109287,Google_Search,IN,2024-06-15,3,11.75,0,14
P0113930,Google_Search,IN,2024-06-06,1,18.92,1,0
P0113930,Google_Search,IN,2024-06-08,2,12.46,0,2
